stockCode,date,open,high,low,close,volume
207940,2020-01-02,629806,639261,618897,623261,72711
207940,2020-01-03,627623,634897,608716,613807,83139
207940,2020-01-06,602897,605806,597806,599261,67135
207940,2020-01-07,604352,610170,597806,609443,57518
207940,2020-01-08,599989,603625,583261,594171,102046
207940,2020-01-09,606533,613078,605079,610897,57868
207940,2020-01-10,613807,638534,607987,634897,123677
207940,2020-01-13,638534,645078,632714,640715,83335
207940,2020-01-14,640715,642897,629806,632714,70815
207940,2020-01-15,630533,634897,625442,631987,41197
207940,2020-01-16,632714,638534,626169,634897,46620
207940,2020-01-17,634897,638534,628352,635624,45227
207940,2020-01-20,638534,643624,636351,637078,44430
207940,2020-01-21,639261,646532,635624,637078,47214
207940,2020-01-22,635624,660351,634897,657442,120636
207940,2020-01-23,682896,717078,666895,702532,294477
207940,2020-01-28,693805,725804,692351,718532,214928
207940,2020-01-29,720713,720713,705440,714168,108444
207940,2020-01-30,713441,727259,705440,719986,108499
207940,2020-01-31,719986,726532,704713,704713,88770
207940,2020-02-03,693805,703986,676350,697442,129772
207940,2020-02-04,702532,717078,701805,716351,76197
207940,2020-02-05,720713,726532,711258,712714,63888
207940,2020-02-06,723622,760713,718532,754894,200281
207940,2020-02-07,757804,762167,741804,754894,84450
207940,2020-02-10,754894,776713,743258,770895,102752
207940,2020-02-11,779621,788348,762167,767985,114740
207940,2020-02-12,767985,782530,763621,770895,88289
207940,2020-02-13,781076,781076,766531,770895,75114
207940,2020-02-14,770895,775259,767985,769439,51966
207940,2020-02-17,769439,769439,751986,754894,98006
207940,2020-02-18,747622,753440,741804,746168,81571
207940,2020-02-19,746168,751986,727259,734531,117913
207940,2020-02-20,737441,747622,719986,725076,175472
207940,2020-02-21,717078,718532,702532,707623,143764
207940,2020-02-24,683623,694532,670532,670532,187281
207940,2020-02-25,667624,697442,666168,696715,165560
207940,2020-02-26,680714,704713,679260,698169,105248
207940,2020-02-27,696715,703986,685077,698169,111488
207940,2020-02-28,687987,690895,662533,674169,155696
207940,2020-03-02,673442,687260,665441,679260,100220
207940,2020-03-03,697442,730167,693078,697442,157084
207940,2020-03-04,697442,714168,696715,711258,94064
207940,2020-03-05,725076,725804,712714,722168,87563
207940,2020-03-06,714168,718532,709077,714168,62733
207940,2020-03-09,703986,727259,702532,718532,135718
207940,2020-03-10,711258,722895,706896,721441,104919
207940,2020-03-11,737441,747622,693078,703986,135581
207940,2020-03-12,698169,711258,679260,702532,164438
207940,2020-03-13,676350,695259,610897,663987,320374
207940,2020-03-16,673442,690168,624715,625442,146637
207940,2020-03-17,596352,629806,595625,607260,284462
207940,2020-03-18,618897,621806,582534,582534,185932
207940,2020-03-19,596352,605079,511990,532353,316030
207940,2020-03-20,557807,655987,540353,625442,394002
207940,2020-03-23,590534,661078,589807,634170,396017
207940,2020-03-24,658170,715622,651623,692351,341826
207940,2020-03-25,716351,718532,671986,690895,289635
207940,2020-03-26,682896,690895,663260,663987,217637
207940,2020-03-27,679260,682169,634170,644351,268600
207940,2020-03-30,635624,657442,630533,654533,145676
