stockCode,stockName,sector,description
207940,삼성바이오로직스,BIO,바이오의약품 위탁개발과 위탁생산 중심의 글로벌 CDMO 기업
000100,유한양행,BIO,전문의약품과 일반의약품 개발 및 판매를 영위하는 제약사
128940,한미약품,BIO,신약 연구개발과 개량신약 파이프라인을 보유한 제약 기업
068270,셀트리온,BIO,항체 바이오의약품과 바이오시밀러 개발 및 생산 기업
005930,삼성전자,IT_TECH,반도체와 모바일 가전 사업을 영위하는 종합 전자기업
035420,네이버,IT_TECH,검색 플랫폼과 광고 커머스 콘텐츠를 운영하는 인터넷 기업
018260,삼성SDS,IT_TECH,IT 서비스와 물류 플랫폼 사업을 수행하는 디지털 솔루션 기업
066570,LG전자,IT_TECH,가전과 전장 솔루션 및 B2B 제품을 제조 판매하는 전자기업
139480,이마트,RETAIL,대형마트와 창고형 할인점 중심의 유통 사업 기업
023530,롯데쇼핑,RETAIL,백화점 마트 이커머스 등 종합 유통 채널을 운영하는 기업
004170,신세계,RETAIL,백화점 중심의 리테일 사업과 패션 라이프스타일 사업 기업
007070,GS리테일,RETAIL,편의점과 슈퍼마켓 홈쇼핑 등 생활밀착형 유통 기업
039130,하나투어,TRAVEL,패키지여행과 항공호텔 예약 서비스를 제공하는 여행 기업
080160,모두투어,TRAVEL,해외 패키지여행과 항공권 판매 중심의 종합 여행사
008770,호텔신라,TRAVEL,면세점과 호텔 사업을 운영하는 관광 서비스 기업
003490,대한항공,TRAVEL,국제선 여객과 항공화물 운송을 수행하는 항공사
005610,SPC삼립,FOOD_FRANCHISE,제빵 식품 제조와 프랜차이즈 유통을 영위하는 식품 기업
031440,신세계푸드,FOOD_FRANCHISE,급식 식자재 유통과 외식 베이커리 사업을 운영하는 기업
041510,SM엔터테인먼트,CULTURE_ENTERTAINMENT,음악 매니지먼트 공연 콘텐츠를 제작 유통하는 엔터 기업
079160,CJ CGV,CULTURE_ENTERTAINMENT,국내외 멀티플렉스 극장 체인을 운영하는 영화 상영 기업
